case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
1,1,1,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0682-v1.yml
2,1,2,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0682-v1.yml
3,1,3,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-028/production-backlog-028-gemma-gmpb-adv0682-v1.yml
4,1,4,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-combat-adv0682-v1.yml
5,1,5,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-social-adv0682-v1.yml
6,1,6,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-investigation-adv0682-v1.yml
7,1,7,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,Structural Openness,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-structural-openness-adv0682-v1.yml
8,1,8,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-darkness-adv0682-v1.yml
9,1,9,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-player-beginner-adv0682-v1.yml
10,1,10,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-gmbs-adv0682-v1.yml
11,1,11,1,ADV-0682,Manor of the Maestro,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,13,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-028/production-backlog-028-qwen-seriousness-adv0682-v1.yml
12,1,12,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-028/production-backlog-028-qwen27-nos-adv0683-v1.yml
13,1,13,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-028/production-backlog-028-gptoss-ee-adv0683-v1.yml
14,1,14,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-028/production-backlog-028-gemma-gmpb-adv0683-v1.yml
15,1,15,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-combat-adv0683-v1.yml
16,1,16,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-social-adv0683-v1.yml
17,1,17,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-investigation-adv0683-v1.yml
18,1,18,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,Structural Openness,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-structural-openness-adv0683-v1.yml
19,1,19,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-darkness-adv0683-v1.yml
20,1,20,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-player-beginner-adv0683-v1.yml
21,1,21,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-028/production-backlog-028-qwen-gmbs-adv0683-v1.yml
22,1,22,2,ADV-0683,Tomb of the Timeless One,Delve: How to Build & Survive Deadly Dungeons,Bob World Builder and Eventyr Games,8,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-028/production-backlog-028-qwen-seriousness-adv0683-v1.yml
