case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
1,1,1,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-031/production-backlog-031-qwen27-nos-adv0783-v1.yml
2,1,2,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-031/production-backlog-031-gptoss-ee-adv0783-v1.yml
3,1,3,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-031/production-backlog-031-gemma-gmpb-adv0783-v1.yml
4,1,4,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-combat-adv0783-v1.yml
5,1,5,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-social-adv0783-v1.yml
6,1,6,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-investigation-adv0783-v1.yml
7,1,7,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,Structural Openness,production-base,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-structural-openness-adv0783-v1.yml
8,1,8,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-darkness-adv0783-v1.yml
9,1,9,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-player-beginner-adv0783-v1.yml
10,1,10,1,ADV-0783,The Rat Catchers,Zakhara: Adventures in the Land of Fate,Miniature Giant Space Hamster Press,17,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-031/production-backlog-031-qwen-gmbs-adv0783-v1.yml
