case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
1,1,1,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-037/production-backlog-037-qwen27-nos-adv0926-v1.yml
2,1,2,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-037/production-backlog-037-gptoss-ee-adv0926-v1.yml
3,1,3,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-037/production-backlog-037-gemma-gmpb-adv0926-v1.yml
4,1,4,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-combat-adv0926-v1.yml
5,1,5,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-social-adv0926-v1.yml
6,1,6,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-investigation-adv0926-v1.yml
7,1,7,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Structural Openness,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-structural-openness-adv0926-v1.yml
8,1,8,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-darkness-adv0926-v1.yml
9,1,9,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-player-beginner-adv0926-v1.yml
10,1,10,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-gmbs-adv0926-v1.yml
11,1,11,1,ADV-0926,Everybody Dies at a Costume Ball,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-037/production-backlog-037-qwen-seriousness-adv0926-v1.yml
12,1,12,2,ADV-0927,Everybody Dies in Barovia,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-037/production-backlog-037-qwen27-nos-adv0927-v1.yml
13,1,13,2,ADV-0927,Everybody Dies in Barovia,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-037/production-backlog-037-gptoss-ee-adv0927-v1.yml
14,1,14,2,ADV-0927,Everybody Dies in Barovia,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-037/production-backlog-037-gemma-gmpb-adv0927-v1.yml
15,1,15,2,ADV-0927,Everybody Dies in Barovia,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-combat-adv0927-v1.yml
16,1,16,2,ADV-0927,Everybody Dies in Barovia,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-social-adv0927-v1.yml
17,1,17,2,ADV-0927,Everybody Dies in Barovia,Faster Purple Worm! Everybody Dies! Vol. 1,Beadle & Grimm's,6,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-037/production-backlog-037-qwen-investigation-adv0927-v1.yml
