case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
111,3,1,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-032/production-backlog-032-qwen27-nos-adv0818-v1.yml
112,3,2,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-032/production-backlog-032-gptoss-ee-adv0818-v1.yml
113,3,3,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-032/production-backlog-032-gemma-gmpb-adv0818-v1.yml
114,3,4,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-combat-adv0818-v1.yml
115,3,5,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-social-adv0818-v1.yml
116,3,6,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-investigation-adv0818-v1.yml
117,3,7,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-structural-openness-adv0818-v1.yml
118,3,8,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-darkness-adv0818-v1.yml
119,3,9,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-player-beginner-adv0818-v1.yml
120,3,10,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-gmbs-adv0818-v1.yml
121,3,11,11,ADV-0818,The Broken Ethereal Tree,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-032/production-backlog-032-qwen-seriousness-adv0818-v1.yml
122,3,12,12,ADV-0819,"Eratos, Elemental Plane of Earth",Micro Dungeons Annual Compendium 2024,ND Hobbies,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-032/production-backlog-032-qwen27-nos-adv0819-v1.yml
123,3,13,12,ADV-0819,"Eratos, Elemental Plane of Earth",Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-032/production-backlog-032-gptoss-ee-adv0819-v1.yml
124,3,14,12,ADV-0819,"Eratos, Elemental Plane of Earth",Micro Dungeons Annual Compendium 2024,ND Hobbies,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-032/production-backlog-032-gemma-gmpb-adv0819-v1.yml
125,3,15,12,ADV-0819,"Eratos, Elemental Plane of Earth",Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-combat-adv0819-v1.yml
126,3,16,12,ADV-0819,"Eratos, Elemental Plane of Earth",Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-social-adv0819-v1.yml
127,3,17,12,ADV-0819,"Eratos, Elemental Plane of Earth",Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-investigation-adv0819-v1.yml
128,3,18,12,ADV-0819,"Eratos, Elemental Plane of Earth",Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-032/production-backlog-032-qwen-structural-openness-adv0819-v1.yml
