case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
1,1,1,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-036/production-backlog-036-qwen27-nos-adv0912-v1.yml
2,1,2,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-036/production-backlog-036-gptoss-ee-adv0912-v1.yml
3,1,3,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-036/production-backlog-036-gemma-gmpb-adv0912-v1.yml
4,1,4,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-combat-adv0912-v1.yml
5,1,5,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-social-adv0912-v1.yml
6,1,6,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-investigation-adv0912-v1.yml
7,1,7,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,Structural Openness,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-structural-openness-adv0912-v1.yml
8,1,8,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-darkness-adv0912-v1.yml
9,1,9,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-player-beginner-adv0912-v1.yml
10,1,10,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-gmbs-adv0912-v1.yml
11,1,11,1,ADV-0912,Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,86,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-036/production-backlog-036-qwen-seriousness-adv0912-v1.yml
12,1,12,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-036/production-backlog-036-qwen27-nos-adv0913-v1.yml
13,1,13,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-036/production-backlog-036-gptoss-ee-adv0913-v1.yml
14,1,14,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-036/production-backlog-036-gemma-gmpb-adv0913-v1.yml
15,1,15,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-combat-adv0913-v1.yml
16,1,16,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-social-adv0913-v1.yml
17,1,17,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-investigation-adv0913-v1.yml
18,1,18,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,Structural Openness,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-structural-openness-adv0913-v1.yml
19,1,19,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-darkness-adv0913-v1.yml
20,1,20,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-player-beginner-adv0913-v1.yml
21,1,21,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-gmbs-adv0913-v1.yml
22,1,22,2,ADV-0913,Chapter 3: Operation Deadfall,Arcana Unleashed: Deadfall,Wizards of the Coast,24,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-036/production-backlog-036-qwen-seriousness-adv0913-v1.yml
23,1,23,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-036/production-backlog-036-qwen27-nos-adv0914-v1.yml
24,1,24,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-036/production-backlog-036-gptoss-ee-adv0914-v1.yml
25,1,25,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-036/production-backlog-036-gemma-gmpb-adv0914-v1.yml
26,1,26,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-combat-adv0914-v1.yml
27,1,27,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-social-adv0914-v1.yml
28,1,28,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-investigation-adv0914-v1.yml
29,1,29,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Structural Openness,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-structural-openness-adv0914-v1.yml
30,1,30,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-darkness-adv0914-v1.yml
31,1,31,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-player-beginner-adv0914-v1.yml
32,1,32,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-gmbs-adv0914-v1.yml
33,1,33,3,ADV-0914,First Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-036/production-backlog-036-qwen-seriousness-adv0914-v1.yml
34,1,34,4,ADV-0915,Second Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-036/production-backlog-036-qwen27-nos-adv0915-v1.yml
35,1,35,4,ADV-0915,Second Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-036/production-backlog-036-gptoss-ee-adv0915-v1.yml
36,1,36,4,ADV-0915,Second Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-036/production-backlog-036-gemma-gmpb-adv0915-v1.yml
37,1,37,4,ADV-0915,Second Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-combat-adv0915-v1.yml
38,1,38,4,ADV-0915,Second Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-social-adv0915-v1.yml
39,1,39,4,ADV-0915,Second Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-investigation-adv0915-v1.yml
40,1,40,4,ADV-0915,Second Mission,Arcana Unleashed: Deadfall,Wizards of the Coast,8,Structural Openness,production-base,qwen,base,experiments/production-backlog-036/production-backlog-036-qwen-structural-openness-adv0915-v1.yml
