case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
1,1,1,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-029/production-backlog-029-qwen27-nos-adv0698-v1.yml
2,1,2,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-029/production-backlog-029-gptoss-ee-adv0698-v1.yml
3,1,3,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-029/production-backlog-029-gemma-gmpb-adv0698-v1.yml
4,1,4,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-combat-adv0698-v1.yml
5,1,5,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-social-adv0698-v1.yml
6,1,6,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-investigation-adv0698-v1.yml
7,1,7,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Structural Openness,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-structural-openness-adv0698-v1.yml
8,1,8,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-darkness-adv0698-v1.yml
9,1,9,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-player-beginner-adv0698-v1.yml
10,1,10,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-gmbs-adv0698-v1.yml
11,1,11,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-029/production-backlog-029-qwen-seriousness-adv0698-v1.yml
12,1,12,1,ADV-0698,Aninas Family Crypt,The Dread Dungeononomicon,Raging Swan Press,10,Levels,levels-v2.1,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-levels-adv0698-v1.yml
13,1,13,2,ADV-0699,Blasted Donjon of the Erdukr Dwarves,The Dread Dungeononomicon,Raging Swan Press,10,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-029/production-backlog-029-qwen27-nos-adv0699-v1.yml
14,1,14,2,ADV-0699,Blasted Donjon of the Erdukr Dwarves,The Dread Dungeononomicon,Raging Swan Press,10,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-029/production-backlog-029-gptoss-ee-adv0699-v1.yml
15,1,15,2,ADV-0699,Blasted Donjon of the Erdukr Dwarves,The Dread Dungeononomicon,Raging Swan Press,10,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-029/production-backlog-029-gemma-gmpb-adv0699-v1.yml
16,1,16,2,ADV-0699,Blasted Donjon of the Erdukr Dwarves,The Dread Dungeononomicon,Raging Swan Press,10,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-combat-adv0699-v1.yml
17,1,17,2,ADV-0699,Blasted Donjon of the Erdukr Dwarves,The Dread Dungeononomicon,Raging Swan Press,10,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-029/production-backlog-029-qwen-social-adv0699-v1.yml
